iter	Logloss
0	0.6480675767
1	0.6078988926
2	0.5701399635
3	0.5287240625
4	0.4935854798
5	0.4637057377
6	0.4344248693
7	0.4122652076
8	0.3895043775
9	0.3695474485
10	0.3506783253
11	0.3325856513
12	0.3096952623
13	0.2948908046
14	0.2814113091
15	0.2666103264
16	0.2537429685
17	0.242902172
18	0.2291707602
19	0.2179757422
20	0.2085484249
21	0.2000814016
22	0.1918744044
23	0.185983451
24	0.1770620844
25	0.1688666418
26	0.1635170724
27	0.1587297835
28	0.1537935684
29	0.1495284996
30	0.1440121913
31	0.1403692488
32	0.1365354639
33	0.1337579126
34	0.1297600839
35	0.1260831274
36	0.122468523
37	0.1195107288
38	0.1156691757
39	0.112930638
40	0.1100364915
41	0.1074668908
42	0.1047415062
43	0.1021913458
44	0.100865117
45	0.09844818508
46	0.09642672768
47	0.09471838358
48	0.09355622937
49	0.09166196872
50	0.09012590575
51	0.08935589393
52	0.08827474432
53	0.08706246914
54	0.08583995969
55	0.08454590735
56	0.08340628964
57	0.08253199825
58	0.08192252889
59	0.08119191027
60	0.08038870763
61	0.0796031627
62	0.07878951209
63	0.07813432222
64	0.07756937161
65	0.07655457714
66	0.07558184519
67	0.0742154432
68	0.07322198403
69	0.0727077005
70	0.07186663355
71	0.07110041539
72	0.07053402793
73	0.07002551511
74	0.06891127588
75	0.0681234653
76	0.06743710755
77	0.0666353287
78	0.06625412434
79	0.0654816292
80	0.06465988921
81	0.06404500924
82	0.06360412362
83	0.06286576774
84	0.06251382246
85	0.06195426947
86	0.06138350183
87	0.06090209895
88	0.06029013199
89	0.05998157716
90	0.05958594686
91	0.05929145911
92	0.05893719939
93	0.05858518592
94	0.05834075531
95	0.05806422761
96	0.05770799278
97	0.05729595409
98	0.05701016915
99	0.05648468929
100	0.05614026632
101	0.05547872052
102	0.05493662655
103	0.05469572553
104	0.0543707698
105	0.05403550451
106	0.05345597321
107	0.05300044355
108	0.05276866107
109	0.05230330199
110	0.05203474668
111	0.05179266657
112	0.05152886019
113	0.05117897845
114	0.05092116811
115	0.05038274694
116	0.05003709711
117	0.04972558768
118	0.04939505263
119	0.04906575219
120	0.04885087063
121	0.04861038445
122	0.04841928012
123	0.04803711729
124	0.0477919657
125	0.04751347664
126	0.04720427695
127	0.04672621175
128	0.0464592417
129	0.04621908271
130	0.04608394781
131	0.04584343668
132	0.04543873584
133	0.04527878114
134	0.04510157911
135	0.04489828021
136	0.04453774165
137	0.04426578597
138	0.04406078618
139	0.04381130209
140	0.04348058276
141	0.04328132391
142	0.04311400233
143	0.04301967899
144	0.04283998233
145	0.04258471097
146	0.04230988577
147	0.04213172697
148	0.04175715412
149	0.04155643727
150	0.04138332169
151	0.04122572447
152	0.04088635926
153	0.04069933742
154	0.04049310058
155	0.04032679384
156	0.04013043453
157	0.03990643097
158	0.03956102264
159	0.03931928703
160	0.03912697345
161	0.03895445286
162	0.03889994831
163	0.03868144997
164	0.0385189367
165	0.0384386013
166	0.03824523012
167	0.03803276628
168	0.03796369677
169	0.03787270007
170	0.0377034114
171	0.03748845747
172	0.03737606278
173	0.03711022684
174	0.03698005006
175	0.03680444044
176	0.03675700033
177	0.03650069475
178	0.03636495934
179	0.03626913048
180	0.03614814098
181	0.03606232425
182	0.03584579481
183	0.03572126146
184	0.03557969025
185	0.03541422001
186	0.0353598623
187	0.03514471049
188	0.03505036792
189	0.03490162558
190	0.0347794833
191	0.03464470768
192	0.03451791564
193	0.0343664182
194	0.03419729673
195	0.03409149764
196	0.03395145227
197	0.03384534154
198	0.03368738595
199	0.03352025382
200	0.03343515985
201	0.03332718968
202	0.03322492218
203	0.0330987898
204	0.03283100684
205	0.03275479922
206	0.03253426502
207	0.03244978891
208	0.03231855576
209	0.03221917954
210	0.03217396804
211	0.03202187204
212	0.03197498711
213	0.03190984569
214	0.03172901765
215	0.03166607393
216	0.03158441831
217	0.0314753788
218	0.03132140177
219	0.03112023921
220	0.03108377464
221	0.03098838098
222	0.0309061633
223	0.03077809365
224	0.03066444656
225	0.03054217035
226	0.03034822477
227	0.03029084477
