Stock,총자산증가율,자기자본증가율,매출액증가율,총자본영업이익율,총자본순이익율,자본금순이익율,매출액순이익율,매출액영업이익율,자기자본비율,부채비율,유보액/납입자본비율,총자본회전율,자기자본회전율, 당기순이익(손실),영업활동으로인한현금흐름,성장성,안정성,활동성,수익성,현금흐름,Z_score,부실기업판별_Z_score,부도확률_O_score,F_score,K_score,부실기업판별_K_score,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목,업종,관리종목여부,관리종목요건_감사의견,관리종목요건_매출액,관리종목요건_영업손실,관리종목요건_법인세비용차감전계속사업손실,날짜,PER,PBR,EPS,DIV,EPS성장률
377460,63.52,820.48,124.61,11.58,8.63,439.49,2.19,2.94,9.49,953.68,285.49,3.94,60.31,3955431000.0,12355211000.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0143813038035853,1.0,23.90353944895131,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3,1,1,1,2018,21.51921875,4.5411979166666665,626.1979166666666,1.9455172413793105,0.08790917151945532
399720,65.42,73.3,72.07,17.28,18.32,1002.9,6.93,6.54,34.76,187.72,2271.09,2.64,7.74,2005794000.0,8561237000.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0013543043643137,1.0,24.908455513437303,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,1,1,2018,50.23355303030303,1.5039469696969696,763.9636363636364,0.7291723555368512,0.6450899998799806
389260,-30.6,12.01,-4.95,7.56,5.38,63.43,4.02,5.65,61.67,62.15,495.55,1.34,2.8,951460000.0,-5905183000.0,0.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0004457710094171,1.0,25.992684465958188,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3,1,1,1,2018,459.4756487695749,1.9766442953020134,738.8053691275168,0.880738255033557,0.9855964440522748
396300,26.53,14.9,44.22,9.27,10.63,684.6,5.68,4.96,56.19,77.97,3943.0,1.87,3.19,4271876000.0,-789345000.0,2.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0002527488643845,1.0,28.81302157335889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,50.23355303030303,1.5039469696969696,763.9636363636364,0.7291723555368512,0.6450899998799806
366030,8.65,26.41,2.53,24.59,19.34,5772.78,12.09,15.38,88.89,12.49,27534.89,1.6,1.93,2886388000.0,2291568000.0,2.0,3.0,2.0,5.0,2.0,0.0,3.0,4.642345482407333e-06,1.0,32.6013535000069,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3,1,1,1,2018,459.4756487695749,1.9766442953020134,738.8053691275168,0.880738255033557,0.9855964440522748
388720,19.25,4.34,10.12,1.05,1.26,44.81,1.01,0.84,21.68,361.16,736.75,1.26,5.43,224065000.0,281174000.0,2.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0159806330424717,1.0,20.864200164947444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
288980,40.62,83.5,73.66,30.6,28.75,593.26,26.35,28.05,46.07,117.05,954.52,1.09,2.62,774930000.0,25014000.0,2.0,2.0,2.0,5.0,2.0,0.0,3.0,0.000582297284562,1.0,17.25651804182276,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,1,1,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
146320,44.82,25.94,38.23,20.65,12.98,2593.97,8.06,12.82,33.11,202.0,7729.41,1.61,4.58,2593970000.0,2442954000.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0025005001976431,1.0,24.099770121687584,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1,1,1,2018,50.23355303030303,1.5039469696969696,763.9636363636364,0.7291723555368512,0.6450899998799806
371950,26.53,44.3,-3.56,-0.53,-2.04,-52.59,-1.57,-0.41,32.92,203.73,848.38,1.3,4.18,-657411000.0,-170574000.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0099491556120465,0.0,23.585297854835662,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,0,0,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
365900,111.69,254.46,27.91,26.64,20.38,285.47,13.05,17.06,71.63,39.62,1129.75,1.56,2.5,3707722000.0,3367423000.0,2.0,3.0,2.0,5.0,2.0,0.0,3.0,4.0425064112422185e-05,1.0,24.23879842843656,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,50.23355303030303,1.5039469696969696,763.9636363636364,0.7291723555368512,0.6450899998799806
