Stock,총자산증가율 (2018),매출액증가율 (2018),총자본영업이익율 (2018),매출액영업이익율 (2018),자기자본비율 (2018),유보액/납입자본비율 (2018),총자본회전율 (2018),영업활동으로인한현금흐름 (2018),총자산증가율 (2019),매출액증가율 (2019),총자본영업이익율 (2019),매출액영업이익율 (2019),자기자본비율 (2019),유보액/납입자본비율 (2019),총자본회전율 (2019),영업활동으로인한현금흐름 (2019),총자산증가율 (2020),매출액증가율 (2020),총자본영업이익율 (2020),매출액영업이익율 (2020),자기자본비율 (2020),유보액/납입자본비율 (2020),총자본회전율 (2020),영업활동으로인한현금흐름 (2020),총자산증가율 (2021),매출액증가율 (2021),총자본영업이익율 (2021),매출액영업이익율 (2021),자기자본비율 (2021),유보액/납입자본비율 (2021),총자본회전율 (2021),영업활동으로인한현금흐름 (2021),2018_관리종목여부,2019_관리종목여부,2020_관리종목여부,2021_관리종목여부,2018_Z,2019_Z,2020_Z,2021_Z,2018_부실기업판별_알Z,2019_부실기업판별_알Z,2020_부실기업판별_알Z,2021_부실기업판별_알Z,2018_부도확률_o,2019_부도확률_o,2020_부도확률_o,2021_부도확률_o,2018_F_score,2019_F_score,2020_F_score,2021_F_score,2018_K,2019_K,2020_K,2021_K,2018_부실여부판단_K,2019_부실여부판단_K,2020_부실여부판단_K,2021_부실여부판단_K,성장성2018,성장성2019,성장성2020,성장성2021,수익성2018,수익성2019,수익성2020,수익성2021,안정성2018,안정성2019,안정성2020,안정성2021,활동성2018,현금흐름2018,활동성2019,현금흐름2019,활동성2020,현금흐름2020,활동성2021,현금흐름2021,업종,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목
412350,25.26,2.47,-68.09,-165.94,82.03,82.61,0.41,-2281015000.0,44.37,50.13,-62.08,-136.95,41.95,26.46,0.45,-3903862000.0,42.31,50.49,-19.5,-40.93,58.07,117.28,0.48,-2216526000.0,49.38,130.34,-6.17,-8.23,74.95,247.86,0.75,-1436719000.0,0,0,0,0,,,,,3,3,3,3,0.2868546169575207,0.0471420361033352,0.0022114858617485,0.046072431667449,1,0,1,1,-6.060642269230128,-7.585681848536565,-3.1923629057126823,-9.15152926765113,0,0,0,0,4,4,4,4,1,1,1,1,2,1,1,2,1,1,2,1,2,1,3,2,2,0,0,0,0,0,0,0
377460,63.52,124.61,11.58,2.94,9.49,285.49,3.94,12355211000.0,187.1,72.03,12.04,4.27,28.07,819.86,2.82,19732233000.0,18.4,34.85,17.67,7.53,37.83,1367.68,2.35,34428493000.0,44.86,16.23,14.55,7.08,35.31,1884.31,2.06,49133611000.0,0,0,0,0,,,,,3,3,3,3,0.0143813038035853,0.0022432448204564,0.0006258712035156,0.0012790876517023,1,1,1,1,23.90353944895131,24.83146198428544,26.598809057347665,27.111114668296302,2,2,2,2,4,4,4,3,3,3,3,3,1,1,2,2,4,4,4,4,4,4,4,4,6,0,0,0,0,0,0,0
399720,65.42,72.07,17.28,6.54,34.76,2271.09,2.64,8561237000.0,17.36,-3.94,20.77,11.08,50.94,3978.6,1.87,-1929959000.0,59.44,-38.47,9.5,11.54,42.59,2618.67,0.82,1889903000.0,44.89,88.53,19.84,19.24,59.1,363.75,1.03,3452901000.0,0,0,0,0,,,,,3,3,3,3,0.0013543043643137,0.0003464422414089,0.0013907043524438,0.0001205626229119,1,1,1,2,24.908455513437303,26.774514337886643,23.425621349991296,25.509415466492005,2,2,2,2,4,2,2,4,3,3,3,4,2,3,2,1,4,3,4,1,3,2,4,3,2,0,0,0,0,0,0,0
389260,-30.6,-4.95,7.56,5.65,61.67,495.55,1.34,-5905183000.0,588.96,528.76,62.16,23.86,21.75,1347.1,2.61,31504675000.0,-33.19,6.52,41.67,21.87,44.93,1896.9,1.91,49400604000.0,127.39,-7.05,44.46,32.92,55.44,5502.72,1.35,26869611000.0,0,0,0,0,,,,,3,3,3,3,0.0004457710094171,0.0021447373617002,0.0009018576128595,8.272056938573723e-05,1,2,1,1,25.992684465958188,25.665984332993293,27.799021620138287,29.86637757705888,2,2,2,2,1,4,2,2,3,4,4,4,2,2,2,3,4,1,4,4,4,4,4,4,6,0,0,0,0,0,0,0
396300,26.53,44.22,9.27,4.96,56.19,3943.0,1.87,-789345000.0,-0.13,15.51,10.5,5.42,58.64,4113.73,1.94,13056585000.0,5.64,-4.81,10.78,6.01,70.66,5264.04,1.79,6778100000.0,13.41,26.73,10.51,5.07,73.95,1718.79,2.07,10617774000.0,0,0,0,0,,,,,3,3,3,3,0.0002527488643845,0.0002451517766474,0.0001243292691091,6.342680879734133e-05,1,2,1,1,28.81302157335889,29.322793963237206,31.15309507431231,32.361991860032425,2,2,2,2,4,2,2,3,3,3,3,3,3,3,3,3,4,2,4,4,4,3,4,3,2,0,0,0,0,0,0,0
366030,8.65,2.53,24.59,15.38,88.89,27534.89,1.6,2291568000.0,16.03,2.94,19.6,13.39,93.52,33631.29,1.46,2798210000.0,32.97,33.02,25.61,16.46,88.63,42096.8,1.56,5148250000.0,31.57,44.78,37.19,21.82,85.95,10667.84,1.7,8223311000.0,0,0,0,0,,,,,3,3,3,3,4.642345482407333e-06,4.578479389302851e-07,2.3553947201990314e-06,8.395596005375857e-07,1,1,1,1,32.6013535000069,33.304534861561926,32.984383043051714,33.19762353737854,2,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,3,4,3,5,0,0,0,0,0,0,0
388720,19.25,10.12,1.05,0.84,21.68,736.75,1.26,281174000.0,6.1,4.03,14.11,12.12,34.17,1298.97,1.16,-517687000.0,23.57,20.71,12.43,10.17,35.69,261.11,1.22,-1045123000.0,47.0,25.4,9.41,8.39,57.03,566.23,1.12,1169066000.0,0,0,0,0,,,,,3,3,3,3,0.0159806330424717,0.0019435969490329,0.0019079912781936,0.0004042306350445,1,1,1,1,20.864200164947444,22.763862320779136,23.54616868555542,24.032915242826466,2,2,2,2,3,2,4,3,2,4,3,3,1,2,1,2,4,2,4,1,4,1,4,2,2,0,0,0,0,0,0,0
288980,40.62,73.66,30.6,28.05,46.07,954.52,1.09,25014000.0,185.9,196.54,29.39,20.49,39.15,2367.75,1.43,794688000.0,114.38,58.08,21.79,22.38,29.21,372.61,0.97,654157000.0,28.84,42.49,12.26,13.8,77.74,748.08,0.89,1677202000.0,0,0,0,0,,,,,3,3,3,3,0.000582297284562,0.0010544216307615,0.0032876582649615,0.0001035146374309,1,1,1,2,17.25651804182276,20.971115243672934,20.140315083168552,21.00910320868325,2,2,2,2,4,4,4,4,4,4,4,4,2,2,1,2,4,2,4,2,4,2,3,2,1,0,0,0,0,0,0,0
146320,44.82,38.23,20.65,12.82,33.11,7729.41,1.61,2442954000.0,50.08,2.12,4.41,3.97,41.7,522.81,1.11,424234000.0,45.9,38.95,18.6,17.76,43.17,370.42,1.05,4511293000.0,28.52,36.88,14.73,13.93,48.11,553.83,1.06,7961655000.0,0,0,0,0,,,,,3,3,3,3,0.0025005001976431,0.0028158323122484,0.0005843623390093,0.0008594077863229,1,1,1,2,24.099770121687584,21.20856059616568,23.0441686270972,23.78837725177433,2,2,2,2,4,3,4,4,4,2,4,4,2,1,1,1,4,2,4,2,4,2,4,3,2,0,0,0,0,0,0,0
371950,26.53,-3.56,-0.53,-0.41,32.92,848.38,1.3,-170574000.0,29.68,-9.73,0.97,1.06,21.96,720.34,0.92,2460105000.0,13.27,-5.66,1.18,1.64,42.94,1560.82,0.72,3610846000.0,24.63,10.41,5.16,7.77,43.33,216.66,0.66,4864059000.0,0,0,0,0,,,,,3,3,3,3,0.0099491556120465,0.0196309013010066,0.0020393777058885,0.0016095647609664,0,1,2,1,23.585297854835662,21.24134089920536,20.83828051431176,21.034055258833607,2,2,2,2,4,2,2,2,1,2,2,3,2,1,2,1,4,2,3,2,3,2,3,3,2,0,0,0,0,0,0,0
365900,111.69,27.91,26.64,17.06,71.63,1129.75,1.56,3367423000.0,11.08,12.42,18.13,14.81,78.55,1398.04,1.22,1725426000.0,28.37,10.72,22.46,19.91,53.18,637.53,1.13,8531414000.0,65.04,36.01,16.18,15.71,56.67,1006.39,1.03,2725586000.0,0,0,0,0,,,,,3,3,3,3,4.0425064112422185e-05,2.4297207785419948e-05,0.0003134470360883,0.0002537290563375,1,1,1,1,24.238798428436557,25.39573265534289,24.370343287148867,24.38175619418061,2,2,2,2,4,3,3,4,4,4,4,4,3,3,2,2,4,3,4,2,4,3,4,2,2,0,0,0,0,0,0,0
370090,235.44,-3.61,4.64,2.72,72.35,1625.56,1.71,1737145000.0,-9.74,24.94,-13.07,-8.96,60.1,1218.13,1.46,-581304000.0,-27.63,-16.58,-14.82,-9.96,59.84,780.01,1.49,-891337000.0,106.82,47.01,9.34,5.5,72.59,303.24,1.7,-1964273000.0,0,0,0,0,,,,,3,3,3,3,0.0003990154469322,0.0056689623484512,0.0032331480542899,5.045139463801483e-05,1,1,1,1,22.40575867444113,18.9240381506165,14.779172385547875,20.28878473616324,2,2,2,2,4,2,1,4,2,1,1,3,3,2,2,2,4,2,4,1,4,1,4,1,2,0,0,0,0,0,0,0
251120,5.18,13.65,1.97,3.98,59.65,101.13,0.5,1072760000.0,23.24,41.32,20.92,34.19,65.16,170.74,0.61,3226794000.0,15.27,1.93,17.77,33.85,70.49,237.63,0.52,2117426000.0,30.71,38.57,15.43,26.21,68.94,329.51,0.59,3686847000.0,0,0,0,0,,,,,3,3,3,3,0.0004840574352135,0.0001001850052353,0.0001457000611406,0.0002094814280039,2,2,1,2,19.586655566335587,22.231257513536125,23.3011799521306,24.200379250389776,2,2,2,2,2,4,3,4,2,4,4,4,1,1,2,2,2,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0
137080,-10.49,-0.66,5.85,7.78,46.22,978.09,0.75,4798230000.0,2.78,-54.82,-8.48,-23.93,36.09,768.61,0.35,-14150818000.0,3.24,92.53,4.53,6.84,36.2,798.99,0.66,10226786000.0,17.74,63.17,16.64,17.02,41.83,1116.89,0.98,23711863000.0,0,0,0,0,,,,,3,3,3,3,0.0007584462440102,0.0118345990765924,0.002040016680465,0.0007189611494665,1,0,2,2,21.551487785028247,17.750765587277414,20.09541869586969,23.11200153553157,2,2,2,2,1,1,3,3,3,1,3,4,2,1,1,2,3,3,1,1,3,3,4,4,2,0,0,0,0,0,0,0
136410,25.51,10.18,5.81,9.96,48.21,3447.6,0.58,-298505000.0,7.86,20.6,2.58,4.25,31.28,390.43,0.61,4865422000.0,1.17,-8.29,6.14,11.49,50.64,450.91,0.53,2555482000.0,29.67,32.62,6.08,9.92,47.68,569.45,0.61,1812548000.0,0,0,0,0,,,,,3,3,3,3,0.0005963990117763,0.005791122955648,0.0024491889569005,0.0005907284182514,1,2,1,1,18.51373092624772,20.45310698072372,20.175871028122074,21.149212955036443,2,2,2,2,4,3,2,4,3,2,3,3,2,1,1,1,2,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0
377330,68.87,54.34,7.14,10.65,51.74,2427.61,0.67,1073898000.0,21.82,24.88,12.21,20.31,51.57,2962.72,0.6,3893054000.0,4.17,-14.81,8.42,18.44,57.21,556.08,0.46,4938722000.0,5.86,15.63,-0.09,-0.17,54.76,564.81,0.5,-2170296000.0,0,0,0,0,,,,,3,3,3,3,0.0009882442871535,0.000565111460887,0.0004314519308481,0.0016877460198398,2,1,1,1,20.048632758985416,20.816992863184527,20.49055045378681,20.60008494389546,2,2,2,2,4,4,1,2,3,4,4,2,3,3,2,2,2,2,2,3,2,3,2,1,2,0,0,0,0,0,0,0
